configuration,action,pair,peak time seconds,triangle pairs,crossing frames,span x,span y,span z
wearables,Write,left.hand / write.pencil,0.7416666666666667,318,688,0.1163398027420044,0.19653695821762085,0.0887349396944046
wearables,Write,left.upper-arm / body,5.891666666666667,330,494,0.14652119576931,0.3670074939727783,0.2658846378326416
wearables,Write,right.forearm / write.pad,0.7333333333333333,324,51,0.3577834963798523,0.2295820564031601,0.08524017035961151
wearables,Write,right.hand / body,6.85,1047,79,0.2880008816719055,0.28236067295074463,0.16833162307739258
wearables,Write,right.hand / write.pad,0.7166666666666667,92,98,0.042598068714141846,0.2601156532764435,0.04733312129974365
wearables,Write,right.upper-arm / body,6.708333333333333,52,19,0.031825751066207886,0.038421809673309326,0.07809214293956757
wearables,Write Pause,left.forearm / body,3.966666666666667,430,164,0.4280812740325928,0.2813979983329773,0.1863432228565216
wearables,Write Pause,left.hand / body,0.2,1494,402,0.33783483505249023,0.29340851306915283,0.17817074060440063
wearables,Write Pause,left.hand / right.hand,4.816666666666666,670,71,0.09503001719713211,0.24881592392921448,0.13670280575752258
wearables,Write Pause,left.hand / write.pad,1.1666666666666667,832,157,0.1707131564617157,0.24587683379650116,0.08436194062232971
