configuration,action,pair,before crossing frames,after crossing frames,before peak triangle pairs,after peak triangle pairs,after peak time
wearables,Write Again,right.upper-arm / body,19,13,54,36,5.783333333333333
wearables,Read,left.forearm / body,166,148,441,441,6.441666666666666
wearables,Read,left.forearm / read.left,736,735,213,213,5.766666666666667
wearables,Read,left.hand / body,1232,868,1977,1294,9.458333333333334
wearables,Read,left.hand / read.left,812,805,1464,1464,5.791666666666667
wearables,Read,left.hand / right.hand,204,0,997,0,
wearables,Read,left.hand / right.upper-arm,4,0,44,0,
wearables,Read,left.upper-arm / body,78,73,352,352,6.266666666666667
wearables,Read,left.upper-arm / read.left,8,8,93,91,2.1083333333333334
wearables,Read,right.forearm / body,36,34,65,72,1.9916666666666667
wearables,Read,right.forearm / read.left,75,75,246,246,9.716666666666667
wearables,Read,right.forearm / read.right,835,835,375,375,9.85
wearables,Read,right.hand / body,1012,845,1158,1044,11.375
wearables,Read,right.hand / read.left,32,32,850,688,9.508333333333333
wearables,Read,right.hand / read.right,1025,1025,1227,1251,2.066666666666667
wearables,Read,right.upper-arm / body,38,26,41,36,1.15
wearables,Read,right.upper-arm / read.left,83,83,158,160,1.9916666666666667
wearables,Read,right.upper-arm / read.right,36,36,194,201,9.491666666666667
wearables,Read Look Up,left.forearm / body,126,106,423,406,2.025
wearables,Read Look Up,left.forearm / read.left,1081,1081,272,272,6.758333333333334
wearables,Read Look Up,left.hand / body,1406,1040,1960,1376,11.15
wearables,Read Look Up,left.hand / read.left,1006,999,1013,646,11.133333333333333
wearables,Read Look Up,left.hand / right.hand,203,0,979,0,
wearables,Read Look Up,left.hand / right.upper-arm,4,0,44,0,
wearables,Read Look Up,left.upper-arm / body,5,0,126,0,
wearables,Read Look Up,left.upper-arm / read.left,8,7,97,95,11.141666666666667
wearables,Read Look Up,right.forearm / body,35,33,65,72,1.9916666666666667
wearables,Read Look Up,right.forearm / read.left,75,75,245,245,1.8666666666666667
wearables,Read Look Up,right.forearm / read.right,1192,1192,378,378,11.55
wearables,Read Look Up,right.hand / body,1359,1192,1157,1023,13.05
wearables,Read Look Up,right.hand / read.left,32,32,855,700,11.208333333333334
wearables,Read Look Up,right.hand / read.right,1227,1227,1241,1255,11.15
wearables,Read Look Up,right.upper-arm / body,40,28,43,37,11.933333333333334
wearables,Read Look Up,right.upper-arm / read.left,82,83,158,160,1.9916666666666667
wearables,Read Look Up,right.upper-arm / read.right,36,36,192,199,2.058333333333333
wearables,Butterfly,left.forearm / right.hand,1,3,2,5,3.7666666666666666
wearables,Butterfly,left.hand / body,355,0,991,0,
wearables,Butterfly,left.hand / right.forearm,208,207,8,8,4.158333333333333
wearables,Butterfly,left.hand / right.hand,634,322,761,761,4.2
wearables,Butterfly,right.forearm / body,339,324,569,569,5.725
wearables,Butterfly,right.hand / body,916,13,709,192,6.433333333333334
wearables,Butterfly,right.hand / butterfly.right,181,180,231,231,4.458333333333333
wearables,Butterfly,right.upper-arm / body,355,351,1024,1024,5.775
wearables,Headphones,left.forearm / body,31,29,95,95,12.233333333333333
wearables,Headphones,left.hand / body,1307,15,1112,170,0.2916666666666667
wearables,Headphones,left.hand / right.hand,1262,0,671,0,
